List;Item;Order;TargetWord;Sentence;CritWord;SentType;Question;;;;;;;;;;
1;1;verb-final;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de dorst had ongetwijfeld.;dorst;exp;NA;;;;;;;;;;
1;2;verb-final;correct;Niels merkte dat hij de auditie erg spannend vond, omdat zijn hart in zijn keel klopte voor die tijd.;keel;exp;NA;;;;;;;;;;
1;3;verb-final;correct;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn benen afdroop na het gesprek.;benen;exp;NA;;;;;;;;;;
1;4;verb-final;correct;Al snel kon Lars zijn internetbedrijf uitbreiden, omdat het hem voor de wind ging dat jaar.;wind;exp;NA;;;;;;;;;;
1;5;verb-final;correct;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, omdat hij een bord voor zijn kop had blijkbaar.;kop;exp;NA;;;;;;;;;;
1;6;verb-final;correct;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de grond ging tegenover zijn klasgenoten.;grond;exp;NA;;;;;;;;;;
1;7;verb-final;correct;De verpleegster had medelijden met de kermende patiënt, omdat hij door een hel ging na die kaakoperatie.;hel;exp;NA;;;;;;;;;;
1;8;verb-final;correct;Linda probeerde haar woedende broer te kalmeren, omdat hij door het lint ging tegen de portier.;lint;exp;NA;;;;;;;;;;
1;9;verb-final;correct;Sandra werd door de chirurg onder narcose gebracht, omdat ze onder het mes ging zometeen.;mes;exp;NA;;;;;;;;;;
1;10;verb-final;correct;Het slachthuis was niet blij met de geheime videobeelden, omdat ze op hun smoel gingen voor de inspectie.;smoel;exp;NA;;;;;;;;;;
1;11;verb-final;correct;Tijdens het popconcert stond Emma te springen, omdat ze uit haar dak ging met haar vriendinnen.;dak;exp;NA;;;;;;;;;;
1;12;verb-final;correct;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de bijl ging na slechts twee sets.;bijl;exp;NA;;;;;;;;;;
1;13;verb-final;correct;De winst van Anna's bedrijf was verdubbeld, omdat ze de wind in de zeilen had het afgelopen kwartaal.;zeilen;exp;NA;;;;;;;;;;
1;14;verb-final;correct;In principe was Victor de baas van het restaurant, omdat hij het heft in handen had sinds vorige zomer.;handen;exp;NA;;;;;;;;;;
1;15;verb-final;correct;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn buik kreeg van haar.;buik;exp;NA;;;;;;;;;;
1;16;verb-final;correct;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het hoofd hield tijdens het onderzoek.;hoofd;exp;NA;;;;;;;;;;
1;17;verb-final;correct;Irene kon niet ongezien weglopen, omdat haar ouders haar in de gaten hielden vanuit de woonkamer.;gaten;exp;NA;;;;;;;;;;
1;18;verb-final;correct;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de duim hielden tijdens de oorlog.;duim;exp;NA;;;;;;;;;;
1;19;verb-final;correct;De huurmoordenaar kreeg een zware celstraf, omdat hij een drugsbaron om zeep hielp op de parkeerplaats.;zeep;exp;NA;;;;;;;;;;
1;20;verb-final;correct;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de brand hielp vanochtend.;brand;exp;NA;;;;;;;;;;
1;21;verb-final;correct;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de droom hielp tijdens de selectiedag.;droom;exp;NA;;;;;;;;;;
1;22;verb-final;correct;Tijdens de spooktocht gilden de kinderen het uit, omdat Joris hen de stuipen op het lijf joeg in het bos.;lijf;exp;NA;;;;;;;;;;
1;23;verb-final;correct;Hilda vond Maarten een pestkop, omdat hij haar op de kast joeg met zijn getreiter.;kast;exp;NA;;;;;;;;;;
1;24;verb-final;correct;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een deuk lagen op de bank.;deuk;exp;NA;;;;;;;;;;
1;25;verb-final;correct;Die starterswoningen werden razendsnel verkocht, omdat ze in de smaak vielen bij veel mensen.;smaak;exp;NA;;;;;;;;;;
1;26;verb-final;correct;Uiteindelijk werden de reorganisatieplannen wel duidelijk, omdat de directeur zijn kaarten op tafel legde gisterochtend.;tafel;exp;NA;;;;;;;;;;
1;27;verb-final;correct;De fraudeurs wisten hun witwaspraktijken te verbergen, omdat ze de agenten om de tuin leidden bij huiszoekingen.;tuin;exp;NA;;;;;;;;;;
1;28;verb-first;unrelated;Sascha merkte dat Nathan geschrokken was van het ongeluk, want hij was uit zijn spek maandagavond.;spek;exp;NA;;;;;;;;;;
1;29;verb-first;unrelated;Vera was erg tevreden over het verloop van het evenement, want het liep op gedachtes vorig weekend.;gedachtes;exp;NA;;;;;;;;;;
1;30;verb-first;unrelated;Neeltje zei dat Floris wel iets zuiniger mocht leven, want hij had een gat in zijn nest sinds zijn loonsverhoging.;nest;exp;NA;;;;;;;;;;
1;31;verb-first;unrelated;Bij die protestactie moest de oproerpolitie optreden, want het liep uit de tegels op het Malieveld.;tegels;exp;NA;;;;;;;;;;
1;32;verb-first;unrelated;Alieke vond dat Alex wel iets bescheidener mocht zijn, want hij liep naast zijn wapens zo langzamerhand.;wapens;exp;NA;;;;;;;;;;
1;33;verb-first;unrelated;Johan ontdekte dat de HAVO eigenlijk te moeilijk voor hem was, want hij liep op zijn parken het afgelopen jaar.;parken;exp;NA;;;;;;;;;;
