List;Item;Order;Target;Sentence;CritWord; Lg10WF;FreqPerMillion;FREQlemma;;;;;
1;1;verb-final;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de dorst had ongetwijfeld.;dorst; 2.92; 19.14;837;;;;;
1;2;verb-final;correct;Niels merkte dat hij de auditie erg spannend vond, omdat zijn hart in zijn keel klopte voor die tijd.;keel; 3.08; 27.28;1266;;;;;
1;3;verb-final;correct;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn benen afdroop na het gesprek.;benen; 3.47; 67.80;2975;;;;;
1;4;verb-final;correct;Al snel kon Lars zijn internetbedrijf uitbreiden, omdat het hem voor de wind ging dat jaar.;wind; 3.35; 50.58;2729;;;;;
1;5;verb-final;correct;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, omdat hij een bord voor zijn kop had blijkbaar.;kop; 4.00; 229.23;10653;;;;;
1;6;verb-final;correct;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de grond ging tegenover zijn klasgenoten.;grond; 3.68; 110.25;4974;;;;;
1;7;verb-final;correct;De verpleegster had medelijden met de kermende patiënt, omdat hij door een hel ging na die kaakoperatie.;hel; 3.57; 84.04;3679;;;;;
1;8;verb-final;correct;Linda probeerde haar woedende broer te kalmeren, omdat hij door het lint ging tegen de portier.;lint; 2.54; 7.98;428;;;;;
1;9;verb-final;correct;Sandra werd door de chirurg onder narcose gebracht, omdat ze onder het mes ging zometeen.;mes; 3.31; 46.24;2412;;;;;
1;10;verb-final;correct;Het slachthuis was niet blij met de geheime videobeelden, omdat ze op hun smoel gingen voor de inspectie.;smoel; 2.32; 4.73;216;;;;;
1;11;verb-final;correct;Tijdens het popconcert stond Emma te springen, omdat ze uit haar dak ging met haar vriendinnen.;dak; 3.38; 54.84;2563;;;;;
1;12;verb-final;correct;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de bijl ging na slechts twee sets.;bijl; 2.61; 9.26;455;;;;;
1;13;verb-final;correct;De winst van Anna's bedrijf was verdubbeld, omdat ze de wind in de zeilen had het afgelopen kwartaal.;zeilen; 2.61; 9.35;783;;;;;
1;14;verb-final;correct;In principe was Victor de baas van het restaurant, omdat hij het heft in handen had sinds vorige zomer.;handen; 3.97; 214.80;18303;;;;;
1;15;verb-final;correct;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn buik kreeg van haar.;buik; 3.06; 26.09;1177;;;;;
1;16;verb-final;correct;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het hoofd hield tijdens het onderzoek.;hoofd; 4.08; 274.05;12439;;;;;
1;17;verb-final;correct;Irene kon niet ongezien weglopen, omdat haar ouders haar in de gaten hielden vanuit de woonkamer.;gaten; 2.77; 13.47;589;;;;;
1;18;verb-final;correct;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de duim hielden tijdens de oorlog.;duim; 2.67; 10.79;679;;;;;
1;19;verb-final;correct;De huurmoordenaar kreeg een zware celstraf, omdat hij een drugsbaron om zeep hielp op de parkeerplaats.;zeep; 2.79; 14.22;626;;;;;
1;20;verb-final;correct;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de brand hielp vanochtend.;brand; 3.29; 44.39;4270;;;;;
1;21;verb-final;correct;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de droom hielp tijdens de selectiedag.;droom; 3.68; 109.42;10428;;;;;
1;22;verb-final;correct;Tijdens de spooktocht gilden de kinderen het uit, omdat Joris hen de stuipen op het lijf joeg in het bos.;lijf; 3.01; 23.65;1176;;;;;
1;23;verb-final;correct;Hilda vond Maarten een pestkop, omdat hij haar op de kast joeg met zijn getreiter.;kast; 3.12; 30.05;1478;;;;;
1;24;verb-final;correct;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een deuk lagen op de bank.;deuk; 2.07; 2.65;161;;;;;
1;25;verb-final;correct;Die starterswoningen werden razendsnel verkocht, omdat ze in de smaak vielen bij veel mensen.;smaak; 3.11; 29.18;2592;;;;;
1;26;verb-final;correct;Uiteindelijk werden de reorganisatieplannen wel duidelijk, omdat de directeur zijn kaarten op tafel legde gisterochtend.;tafel; 3.56; 83.40;4022;;;;;
1;27;verb-final;correct;De fraudeurs wisten hun witwaspraktijken te verbergen, omdat ze de agenten om de tuin leidden bij huiszoekingen.;tuin; 3.21; 36.66;1727;;;;;
1;28;verb-first;unrelated;Sascha merkte dat Nathan geschrokken was van het ongeluk, want hij was uit zijn spek maandagavond.;spek; 2.37; 5.35;237;;;;;
1;29;verb-first;unrelated;Vera was erg tevreden over het verloop van het evenement, want het liep op gedachtes vorig weekend.;gedachtes; 1.73; 1.21;1463;;;;;
1;30;verb-first;unrelated;Neeltje zei dat Floris wel iets zuiniger mocht leven, want hij had een gat in zijn nest sinds zijn loonsverhoging.;nest; 2.69; 11.27;978;;;;;
1;31;verb-first;unrelated;Bij die protestactie moest de oproerpolitie optreden, want het liep uit de tegels op het Malieveld.;tegels; 1.81; 1.44;86;;;;;
1;32;verb-first;unrelated;Alieke vond dat Alex wel iets bescheidener mocht zijn, want hij liep naast zijn wapens zo langzamerhand.;wapens; 3.68; 109.83;10796;;;;;
1;33;verb-first;unrelated;Johan ontdekte dat de HAVO eigenlijk te moeilijk voor hem was, want hij liep op zijn parken het afgelopen jaar.;parken; 1.76; 1.28;1186;;;;;
1;34;verb-first;unrelated;Groningen zal geen last meer hebben van die pyromaan, want hij liep tegen de markt dinsdagavond.;markt; 2.92; 19.03;876;;;;;
1;35;verb-first;unrelated;Het was dom van de minister om de omstreden Betuwelijn zo te prijzen, want hij gooide olie op het plan daardoor.;plan; 3.80; 143.34;10388;;;;;
1;36;verb-first;unrelated;Uiteindelijk bekende de dief toch schuld, want de agent lokte hem uit zijn blad in de verhoorkamer.;blad; 2.69; 11.14;977;;;;;
1;37;verb-first;unrelated;Na lang twijfelen deed Sara toch mee, want Steven trok haar over de lach met zijn argumenten.;lach; 3.31; 46.72;8074;;;;;
1;38;verb-first;unrelated;Uiteindelijk wist de rechercheur alles van de verdachte, want hij nam hem onder de keus in zijn onderzoek.;keus; 3.43; 61.61;2694;;;;;
1;39;verb-first;unrelated;Na het overlijden van zijn ouders hoefde David niet naar een pleeggezin, want opa nam hem onder zijn kamer gelukkig.;kamer; 4.08; 275.24;12981;;;;;
1;40;verb-first;unrelated;Kristel vond dat Paul haar te weinig uitdaagde, want hij praatte haar naar de test elke keer.;test; 3.28; 43.15;3985;;;;;
1;41;verb-first;unrelated;Het was duidelijk dat de directeur Stefans gespijbel ontdekt had, want hij riep hem op het bestand maandagochtend.;bestand; 2.59; 8.94;669;;;;;
1;42;verb-first;unrelated;De selectieprocedure was erg streng, want de toelatingscommissie scheidde het kaf van het einde voor die opleiding.;einde; 3.69; 112.94;4951;;;;;
1;43;verb-first;unrelated;Nadia schrok van Hendriks boze reactie, want hij schoot uit zijn roem vanuit het niets.;roem; 2.54; 7.98;349;;;;;
