List;Item;Order;Target;Sentence;CritWord;SentType;Literality;Cloze probability;Word length;;;;;;;;;
2;49;verb-final;correct;Tessa wilde nooit meer in dat rare T-shirt gymmen, omdat ze voor aap stond tijdens de les.;aap;exp;2,63;0,076923077;3;;;;;;;;;
3;49;verb-first;correct;Tessa wilde nooit meer in dat rare T-shirt gymmen, want ze stond voor aap tijdens de les.;aap;exp;2,63;0,727272727;3;;;;;;;;;
3;78;verb-final;correct;Meester merkte dat Sascha nogal verlegen was, omdat hij op de achtergrond bleef bij groepsactiviteiten.;achtergrond;exp;3,85;0;11;;;;;;;;;
4;78;verb-first;correct;Meester merkte dat Sascha nogal verlegen was, want hij bleef op de achtergrond bij groepsactiviteiten.;achtergrond;exp;3,85;0,466666667;11;;;;;;;;;
4;84;verb-final;correct;Carolien was de deadline voor het artikel nog niet vergeten, omdat ze hem in haar achterhoofd hield al die tijd.;achterhoofd;exp;1,58;0;11;;;;;;;;;
5;84;verb-first;correct;Carolien was de deadline voor het artikel nog niet vergeten, want ze hield hem in haar achterhoofd al die tijd.;achterhoofd;exp;1,58;0,4;11;;;;;;;;;
2;46;verb-final;correct;Bas ontdekte dat zijn conditie erg slecht was, omdat hij naar adem snakte na de hardlooptraining.;adem;exp;4,04;0,692307692;4;;;;;;;;;
3;46;verb-first;correct;Bas ontdekte dat zijn conditie erg slecht was, want hij snakte naar adem na de hardlooptraining.;adem;exp;4,04;1;4;;;;;;;;;
6;145;verb-final;correct;Het was onduidelijk of Lieve zou komen, omdat ze een slag om de arm hield voorlopig.;arm;exp;2,10;0,933333333;3;;;;;;;;;
1;145;verb-first;correct;Het was onduidelijk of Lieve zou komen, want ze hield een slag om de arm voorlopig.;arm;exp;2,10;1;3;;;;;;;;;
5;128;verb-final;correct;Moeder was bang dat Ferry na de vakantie blut zou zijn, omdat hij geld over de balk gooide op Ibiza.;balk;exp;4,55;0,933333333;4;;;;;;;;;
6;128;verb-first;correct;Moeder was bang dat Ferry na de vakantie blut zou zijn, want hij gooide geld over de balk op Ibiza.;balk;exp;4,55;0,923076923;4;;;;;;;;;
4;106;verb-final;correct;Robert wist dat het bestuur geld verduisterde, omdat de kascommissie aan de bel trok in maart.;bel;exp;4,83;0,181818182;3;;;;;;;;;
5;106;verb-first;correct;Robert wist dat het bestuur geld verduisterde, want de kascommissie trok aan de bel in maart.;bel;exp;4,83;0,933333333;3;;;;;;;;;
1;3;verb-final;correct;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn benen afdroop na het gesprek.;benen;exp;1,89;1;5;;;;;;;;;
2;3;verb-first;correct;Stefanie zag dat Martijn zich schaamde, want hij droop met zijn staart tussen zijn benen af na het gesprek.;benen;exp;1,89;1;5;;;;;;;;;
1;12;verb-final;correct;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de bijl ging na slechts twee sets.;bijl;exp;2,29;0,307692308;4;;;;;;;;;
2;12;verb-first;correct;De uitgeschakelde tennisser was erg teleurgesteld, want hij ging voor de bijl na slechts twee sets.;bijl;exp;2,29;0,272727273;4;;;;;;;;;
3;77;verb-final;correct;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, omdat ze hem voor het blok zette tijdens Kerst.;blok;exp;3,92;0,909090909;4;;;;;;;;;
4;77;verb-first;correct;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, want ze zette hem voor het blok tijdens Kerst.;blok;exp;3,92;0,933333333;4;;;;;;;;;
5;115;verb-final;correct;Het was niet erg dat Bobs zusje het kaartspel niet snapte, omdat ze voor spek en bonen meedeed met ons.;bonen;exp;3,05;1;5;;;;;;;;;
